ID,Title,Session Code,Domain,Author,Key Points Count,Technical Details Count,First Key Point Preview,First Technical Detail Preview
295,AWS re:Inforce 2024 - 5 ways generative AI can enhance cybersecurity (GAI324),GAI324,AI,,5,5,"Generative AI can enhance cybersecurity workflows by automating repetitive tasks, allowing security ...",AWS services like Amazon Bedrock provide foundational models that can be leveraged for security auto...
299,AWS re:Inforce 2024 - Accelerating auditing and compliance for generative AI on AWS (GRC302),GRC302,AI,,5,13,**Generative AI vs. Predictive AI:** Auditing generative AI is more complex because it creates novel...,**Key Service: AWS Audit Manager:**
294,AWS re:Inforce 2024 - Balancing responsible AI: Privacy and data protection on AWS (GAI223),GAI223,AI,,5,5,AWS emphasizes the importance of balancing innovation in AI with core principles of privacy and data...,"The 'Privacy and Access' application, powered by Amazon Bedrock, scans for PII and PHI data to help ..."
291,AWS re:Inforce 2024 - Build responsible AI applications with Guardrails for Amazon Bedrock (GRC325),GRC325,AI, AWS Events,6,6,"**Need for Custom Safeguards**: While foundation models have built-in safety features, they are ofte...",**Configuration**: Guardrails are created and configured in the Amazon Bedrock console. The configur...
308,"AWS re:Inforce 2024 - Building AI responsibly with a GRC strategy, featuring Anthropic (GRC202)",GRC202,AI,,5,5,"Embedding a strong Governance, Risk, and Compliance (GRC) strategy from the outset is critical for r...",Utilizing AWS services like Amazon SageMaker for building and deploying machine learning models with...
301,"AWS re:Inforce 2024 - Cybersecurity w/ PwC: Compliance, generative AI & cost optimization (GRC226-S)",,AI, AWS Events,7,7,Continuous compliance enables organizations to maintain a state of constant readiness for regulatory...,"Utilize AWS Security Lake to aggregate security logs from various sources, enabling automated compli..."
305,AWS re:Inforce 2024 - Diversity and accessibility in the age of generative AI (ABW101),ABW101,AI,,7,7,"The cybersecurity industry must prioritize diversity to foster innovation, as diverse teams are prov...",Utilize AWS SageMaker to develop and deploy machine learning models that can generate personalized c...
300,AWS re:Inforce 2024 - Fine-tune the COE process with generative AI (ARC221),ARC221,AI, AWS Events,10,3,**COE as a Core Mechanism**: The Correction of Error process is a fundamental best practice in the A...,**Tools Used**: The demonstration was built using a **Jupyter Notebook** on a local machine making A...
288,AWS re:Inforce 2024 - Generative AI skills and culture for security organizations (GAI121),GAI121,AI, AWS Events,5,5,Emphasizing a 'Generative AI first' approach enables security organizations to leverage AI for enhan...,"Utilizing AWS services such as Amazon SageMaker for building, training, and deploying machine learni..."
296,AWS re:Inforce 2024 - Generative AI to identify potential risks in architectural diagrams (ARC222),ARC222,AI, AWS Events,7,7,"Utilizing generative AI can significantly accelerate AWS Well-Architected Framework Reviews, allowin...","Amazon Bedrock is a managed service that provides access to large language models, enabling advanced..."
289,AWS re:Inforce 2024 - Harnessing conversational AI for streamlined security operations (COM222),COM222,AI, AWS Events,5,5,The use of conversational AI can significantly reduce the time security teams spend searching for in...,"AWS Security Hub serves as a central management service for security findings, integrating with tool..."
302,AWS re:Inforce 2024 - How Deloitte helps navigate generative AI compliance for customers (GRC221),GRC221,AI,,5,5,"Deloitte identifies six key challenges in generative AI, including bias and privacy/security, emphas...","AWS Audit Manager is a service that automates evidence collection and continuous monitoring, facilit..."
287,AWS re:Inforce 2024 - Keeping people away from data: A generative AI use case (GAI326),GAI326,AI,,5,5,The principle of 'keeping people away from data' is crucial for enhancing data security in generativ...,"Utilize Amazon SageMaker as the MLOps service for building and deploying generative AI models, ensur..."
303,AWS re:Inforce 2024 - Mind your business: Secure your generative AI application on AWS (GAI322),GAI322,AI,,5,5,Establish clear usage guidelines for generative AI applications to ensure compliance and governance ...,Leverage Amazon Bedrock's native Guardrails feature to implement security controls directly within y...
306,AWS re:Inforce 2024 - Mitigate OWASP Top 10 for LLM risks with a Zero Trust approach (GAI323),GAI323,AI, AWS Events,5,5,"Adopting a Zero Trust security model is essential for securing generative AI applications, treating ...",Utilize Amazon Verified Permissions to enforce policy-based authorization checks before sensitive da...
313,AWS re:Inforce 2024 - Navigating privacy and compliance while securing gen AI applications (GAI201),GAI201,AI, AWS Events,5,5,Understanding the Generative AI Scoping Matrix helps organizations assess risk and apply appropriate...,Utilize AWS Identity and Access Management (IAM) to enforce fine-grained access controls on data sou...
314,AWS re:Inforce 2024 - Persona-based access to enterprise data for generative AI apps (GAI325),GAI325,AI, AWS Events,7,7,Implementing persona-based access control enhances data security in generative AI applications by en...,Use Amazon Bedrock's Knowledge Bases to implement metadata filtering for access control based on use...
298,AWS re:Inforce 2024 - Protect your generative AI applications against jailbreaks (GAI321),GAI321,AI, AWS Events,7,7,"Understanding the risks of prompt injection is crucial for securing generative AI applications, as a...","Use Amazon Comprehend to classify and filter input prompts for toxicity, enabling early detection of..."
292,AWS re:Inforce 2024 - Protecting data in generative AI applications with Amazon Bedrock (COM223),COM223,AI, AWS Events,13,5,"**Security Maturity Model**: A recommended framework for improving cloud security posture in phases,...",**Encryption**: Data is encrypted at rest using **AWS KMS**. The keys are stored in FIPS 140-2 valid...
293,AWS re:Inforce 2024 - Securely accelerating generative AI innovation (SEC203-INT),,AI, AWS Events,13,9,**Mental Models for GenAI Security**: Use the AWS Generative AI Scoping Matrix to assess risk. Key p...,"**Bloomberg's Training Infrastructure**: Leveraged **Amazon SageMaker**, 512 NVIDIA A100 GPUs, **Dir..."
